Sale_id,bbl_id,year,nbhd,bldg_ctgy,tax_cls_p,block,lot,zip,res_unit,com_unit,tot_unit,land_sqft,tot_sqft,yr_built,tax_cls_s,bldg_cls_s,sale_date,price,long,lat,airport,atm,bank,bar,book_store,bus_station,cafe,church,city_hall,doctor,fire_station,gas_station,gym,hospital,library,lodging,mosque,movie_theater,museum,night_club,park,parking,police,restaurant,school,shopping_mall,store,supermarket,train_station,auth_search,quarter,month,Unemployment_rate,Mortgage_rate,gdp,real_estate_output,days_since_start_datset,days_since_lehman_brothers,days_since_hurricane_sandy
82905,553954,2013,ANNADALE,01  ONE FAMILY HOMES,1,5395,4,10312,1,0,1,7654,2277,1980,1,A1,41512,775000.0,-74.1682669686,40.537356676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,True,Q_3,August,7.2,4.456,15641.3,2782.6,3889,1806,301
82906,5539926,2013,ANNADALE,01  ONE FAMILY HOMES,1,5399,26,10312,1,0,1,9555,1528,1960,1,A1,41570,630000.0,-74.1657991018,40.5345138902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,True,Q_4,October,7.2,4.192,15793.9,2782.6,3947,1864,359
82907,5540110,2013,ANNADALE,01  ONE FAMILY HOMES,1,5401,10,10312,1,0,1,10800,2015,1980,1,A2,41313,705000.0,-74.1653981812,40.5338694362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,True,Q_1,February,7.7,3.5325,15491.9,2782.6,3690,1607,102
82916,5620529,2013,ANNADALE,01  ONE FAMILY HOMES,1,6205,29,10312,1,0,1,1546,1579,1986,1,A5,41586,285000.0,-74.172970496,40.5392710589,0.0,5.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,0.0,27.0,0.0,1.0,True,Q_4,November,6.9,4.255,15793.9,2782.6,3963,1880,375
82922,5621120,2013,ANNADALE,01  ONE FAMILY HOMES,1,6211,20,10312,1,0,1,1508,1521,1986,1,A5,41442,358000.0,-74.1739063043,40.5408012534,0.0,7.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,28.0,0.0,1.0,True,Q_2,June,7.5,4.07,15521.6,2782.6,3819,1736,231
82923,5621134,2013,ANNADALE,01  ONE FAMILY HOMES,1,6211,34,10312,1,0,1,1550,1521,1986,1,A5,41554,,-74.1730866264,40.5410467807,0.0,6.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,28.0,0.0,1.0,True,Q_4,October,7.2,4.192,15793.9,2782.6,3931,1848,343
82925,5621539,2013,ANNADALE,01  ONE FAMILY HOMES,1,6215,39,10312,1,0,1,10000,1464,1955,1,A2,41598,580000.0,-74.1738007888,40.5389651303,0.0,7.0,1.0,6.0,0.0,4.0,1.0,1.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,28.0,0.0,1.0,True,Q_4,November,6.9,4.255,15793.9,2782.6,3975,1892,387
82929,5621633,2013,ANNADALE,01  ONE FAMILY HOMES,1,6216,33,10312,1,0,1,2333,1515,1994,1,A5,41627,355000.0,-74.1739206529,40.5407847628,0.0,7.0,1.0,5.0,0.0,6.0,1.0,1.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,27.0,0.0,1.0,True,Q_4,December,6.7,4.4575,15793.9,2782.6,4004,1921,416
82930,5621916,2013,ANNADALE,01  ONE FAMILY HOMES,1,6219,16,10312,1,0,1,1650,2285,2004,1,A5,41400,400000.0,-74.1743652298,40.5415663614,0.0,6.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,27.0,0.0,1.0,True,Q_2,May,7.5,3.536,15521.6,2782.6,3777,1694,189
82933,5622061,2013,ANNADALE,01  ONE FAMILY HOMES,1,6220,61,10312,1,0,1,1648,1816,2003,1,A5,41528,360000.0,-74.1754811898,40.5417979708,0.0,6.0,1.0,5.0,0.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,26.0,0.0,1.0,True,Q_3,September,7.2,4.49,15641.3,2782.6,3905,1822,317
82937,56226123,2013,ANNADALE,01  ONE FAMILY HOMES,1,6226,123,10312,1,0,1,9180,900,1960,1,A2,41638,225000.0,-74.1784147591,40.5436187534,0.0,6.0,1.0,5.0,0.0,9.0,1.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,3.0,0.0,31.0,0.0,1.0,True,Q_4,December,6.7,4.4575,15793.9,2782.6,4015,1932,427
82938,5622731,2013,ANNADALE,01  ONE FAMILY HOMES,1,6227,31,10312,1,0,1,4000,2196,2012,1,A1,41417,722957.0,-74.1785832968,40.5447521007,0.0,6.0,1.0,5.0,0.0,8.0,1.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,3.0,0.0,26.0,0.0,1.0,True,Q_2,May,7.5,3.536,15521.6,2782.6,3794,1711,206
82940,5622760,2013,ANNADALE,01  ONE FAMILY HOMES,1,6227,60,10312,1,0,1,4000,1613,1910,1,A1,41603,636250.0,-74.1778732284,40.5442838392,0.0,6.0,1.0,5.0,0.0,8.0,1.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,3.0,0.0,30.0,0.0,1.0,True,Q_4,November,6.9,4.255,15793.9,2782.6,3980,1897,392
82941,5623039,2013,ANNADALE,01  ONE FAMILY HOMES,1,6230,39,10312,1,0,1,4000,768,1930,1,A2,41576,125000.0,-74.1806849842,40.5462337587,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,13.0,0.0,0.0,True,Q_4,October,7.2,4.192,15793.9,2782.6,3953,1870,365
82945,5623362,2013,ANNADALE,01  ONE FAMILY HOMES,1,6233,62,10312,1,0,1,4000,1092,1960,1,A2,41621,458000.0,-74.182643358,40.5465902314,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,True,Q_4,December,6.7,4.4575,15793.9,2782.6,3998,1915,410
