property_id,bbl_id,acquired_date,acquired_price,monthly_rent
SI-0001,5562157,2013-07-18,477000,3225
SI-0002,52859185,2005-01-10,420000,2900
SI-0003,553062,2010-12-15,215000,1650
SI-0004,565117,2007-04-13,540000,3700
SI-0005,5316640,2008-04-15,440000,3225
SI-0006,5467226,2010-09-21,305000,1650
SI-0007,55691130,2008-10-21,535000,3650
SI-0008,5106564,2007-11-29,410000,2200
SI-0009,5800177,2008-10-17,355000,2650
SI-0010,5125479,2007-03-06,349323,2275
SI-0011,560614,2007-11-27,775000,4300
SI-0012,5329332,2006-10-11,200000,1175
SI-0013,54640155,2010-01-21,325500,2400
SI-0014,524514,2010-09-15,520000,3450
SI-0015,547419,2013-10-11,475000,3725
SI-0016,5948133,2011-06-10,559000,4050
SI-0017,510811,2007-06-29,420000,3025
SI-0018,537996,2010-12-06,322000,2900
SI-0019,5689134,2010-05-06,440000,3725
SI-0020,544129,2009-04-29,376500,2425
SI-0021,51680210,2005-10-18,265000,1900
SI-0022,5604888,2012-12-21,380000,2275
SI-0023,5547631,2011-12-16,375000,2725
SI-0024,5534972,2012-02-07,380000,2425
SI-0025,5601181,2007-06-19,360000,1900
SI-0026,5460638,2008-02-01,575000,3075
SI-0027,5681154,2007-08-14,445150,2900
SI-0028,5789060,2009-05-27,253500,1850
SI-0029,523673,2011-02-24,210000,1375
SI-0030,57178,2007-07-26,540000,2725
SI-0031,5672622,2010-02-22,460000,3375
SI-0032,532364,2008-04-29,334750,2725
SI-0033,5636742,2007-12-20,625000,3950
SI-0034,5285981,2007-01-16,349900,2125
SI-0035,5385921,2010-10-07,290000,2125
SI-0036,5299148,2012-09-28,325000,2425
SI-0037,5103819,2011-05-03,473000,2575
SI-0038,575411,2010-07-22,430000,2550
SI-0039,5460876,2005-07-13,425000,3000
SI-0040,56619,2008-12-04,534581,2700
SI-0041,5197115,2005-08-12,321000,2300
SI-0042,5376283,2013-10-10,362500,2125
SI-0043,522420,2008-07-09,134000,875
SI-0044,53095,2006-04-10,390000,3225
SI-0045,5238274,2009-09-08,311000,2375
SI-0046,535156,2012-05-22,635000,4375
SI-0047,52862116,2013-06-20,452000,3325
SI-0048,520980,2008-03-12,525000,3375
SI-0049,576463,2007-08-20,580000,3975
SI-0050,53546,2010-01-08,300000,1925
SI-0051,5238319,2005-08-29,482500,3950
SI-0052,5325418,2008-11-26,290000,2075
SI-0053,5146215,2006-12-29,425000,2525
SI-0054,53750,2007-09-25,400000,3000
SI-0055,53722,2012-10-10,200000,1425
SI-0056,5383041,2007-10-05,570220,3100
SI-0057,5391451,2009-09-11,365000,2400
SI-0058,577281,2009-06-02,630000,3850
SI-0059,55340108,2009-11-12,590000,3825
SI-0060,536647,2011-04-14,386250,3000
SI-0061,5150160,2006-02-21,285000,2000
SI-0062,53960122,2010-07-16,405499,2825
SI-0063,5299663,2007-03-15,390000,3075
SI-0064,5211894,2006-06-21,385000,2725
SI-0065,5122533,2005-12-27,411684,3150
SI-0066,54645260,2006-06-23,435000,3050
SI-0067,550226,2005-03-31,490000,2400
SI-0068,5426747,2007-06-04,205000,1675
SI-0069,5327167,2007-04-17,350000,2650
SI-0070,5625717,2009-03-26,445000,3175
